Final Rank,Pick Time,Athena,Year,Final Room Number,Initial Rank,Block name,Weighted Rank
1,3:00,ferrantj,Junior,327,1,,1
2,,bcoston,Junior,875,2,,2
3,,wlouie,Junior,535,3,,3
4,,caseyfu1,Junior,330,4,,4
5,,jennt,Junior,244C,5,,5
6,3:05,cosmosd,Junior,678,6,,6
7,,ajack,Junior,625,7,,7
8,,lepertc,Junior,1075,8,,8
9,,asevert,Junior,975,9,,9
10,,klkim,Junior,565,11,,11
11,3:10,dmetri,Junior,976,12,,12
12,,larsj,Junior,667,13,,13
13,,apark93,Junior,578A,14,,14
14,,dssun,Junior,1052B,15,,15
15,,sguitron,Junior,977,16,,16
16,3:15,smjoseph,Junior,573,17,,17
17,,cliou,Junior,566,18,,18
18,,sokaine,Junior,1025,19,,19
19,,efarias,Junior,569,20,,20
20,,kcooper,Junior,825,21,,21
21,3:20,ffosb22,Junior,1033,22,,22
22,,maby,Junior,1066,23,,23
23,,acburgos,Junior,450,24,,24
24,,lopezna,Junior,946,25,,25
25,,joyceyc,Junior,634,26,,26
26,3:25,cfh119,Junior,1072,27,,27
27,,nsgarcia,Junior,1038,28,,28
28,,jkchen,Junior,634,29,,29
29,,mkordell,Junior,626,30,,30
30,,eoklatt,Junior,1072,31,,31
31,3:30,dejuan,Junior,628,32,,32
32,,shannenk,Junior,1043,34,,34
33,,sayeedt,Junior,545,35,,35
34,,mengle,Junior,979,36,,36
35,,dreback,Junior,670,37,,37
36,3:35,hzaini,Junior,1078A,38,,38
37,,stephach,Junior,635,39,,39
38,,ldunphy,Junior,1074,40,,40
39,,kyan,Junior,936,41,,41
40,,mayowao,Junior,538,42,,42
41,3:40,cklingsh,Junior,526,43,,43
42,,drysewyk,Junior,1021C,44,,44
43,,shanasia,Junior,244B,45,,45
44,,ahess,Junior,1065,46,,46
45,,yousif,Junior,938,47,,47
46,3:45,taylorr,Junior,649,48,,48
47,,amireles,Junior,974,49,,49
48,,daewook,Junior,476,50,,50
49,,cwetters,Junior,1021C,51,,51
50,,lyk,Junior,1066,52,,52
51,3:50,dalyk,Junior,1046,53,,53
52,,woursler,Junior,631D,54,,54
53,,timwu,Junior,874,55,,55
54,,elyudism,Junior,1021A,56,,56
55,,cjholz,Junior,839,58,,58
56,3:55,yangjj,Junior,532,59,,59
57,,jherring,Junior,635,60,,60
58,,emilyyau,Junior,571,61,,61
59,,nbrock,Junior,1076,62,,62
60,,johnstep,Junior,1073,63,,63
61,4:00,kstatham,Junior,375,10,Odd,64.333
62,,seropian,Junior,380,57,Odd,64.333
63,,slmoore,Sophomore,376,126,Odd,64.333
64,,jlugo,Sophomore,921B,65,,65
65,,alashley,Sophomore,1077,66,,66
66,4:05,aradha,Sophomore,1031B,67,,67
67,,akashk16,Sophomore,738C,68,,68
68,,jtsao,Sophomore,638,69,,69
69,,nalezyty,Sophomore,925,70,,70
70,,adat,Sophomore,674,71,,71
71,4:10,cheber,Sophomore,733,72,,72
72,,bbelland,Sophomore,521C,73,,73
73,,estein,Sophomore,640,77,,77
74,,guerrero,Sophomore,543,78,,78
75,,kaugdahl,Sophomore,664,79,,79
76,4:15,ayosafat,Sophomore,644,80,,80
